127.0.0.1 - - [08/Jan/2018:15:10:24 +0100] "GET /assets/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 65094 "http://local-siteb.dev/assets/css/materialize.min.css" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [08/Jan/2018:15:10:24 +0100] "GET /js/materialize.min.js HTTP/1.1" 404 1342 "http://local-siteb.dev/" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [08/Jan/2018:15:11:34 +0100] "GET / HTTP/1.1" 200 970 "-" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [08/Jan/2018:15:11:34 +0100] "GET /js/materialize.min.js HTTP/1.1" 404 1343 "http://local-siteb.dev/" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [08/Jan/2018:15:11:34 +0100] "GET /assets/css/materialize.min.css HTTP/1.1" 200 22598 "http://local-siteb.dev/" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [08/Jan/2018:15:11:34 +0100] "GET /assets/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 65094 "http://local-siteb.dev/assets/css/materialize.min.css" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [08/Jan/2018:15:11:34 +0100] "GET /js/materialize.min.js HTTP/1.1" 404 1342 "http://local-siteb.dev/" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [08/Jan/2018:15:12:09 +0100] "GET / HTTP/1.1" 200 972 "-" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [08/Jan/2018:15:12:09 +0100] "GET /assets/css/materialize.min.css HTTP/1.1" 200 22598 "http://local-siteb.dev/" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [08/Jan/2018:15:12:09 +0100] "GET /assets/js/materialize.min.js HTTP/1.1" 200 50490 "http://local-siteb.dev/" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [08/Jan/2018:15:12:09 +0100] "GET /assets/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 65094 "http://local-siteb.dev/assets/css/materialize.min.css" "Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
